NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT,ANSWER_TYPE
1,0,0,-1,8,3,0,0,
2,0,0,-1,8,3,0,0,
3,1,0,-1,8,3,0,0,
4,1,0,-1,8,3,0,-,
5,1,0,-1,8,3,0,-,
