NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT,ANSWER_TYPE
1,0,-1,5.349597385000379,23,3,0,0,wrong_1
2,0,-1,1.9265205990013783,23,3,0,0,wrong_2
