NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT,ANSWER_TYPE
1,0,0,-1,14,3,0,0,
2,0,0,-1,14,3,0,0,
3,1,1,7.382907074999821,14,3,0,0,answer
4,1,1,5.900686572000268,14,3,0,-,answer
5,1,1,13.76499440400221,14,3,0,-,answer
