NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT,ANSWER_TYPE
1,0,0,-1,23,3,0,0,
2,0,-1,2.092083865994937,23,3,0,0,wrong_3
