NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT,ANSWER_TYPE
1,0,0,-1,23,3,0,0,
2,0,-1,10.394050871997024,23,3,0,0,wrong_1
