NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT,ANSWER_TYPE
1,0,1,0.557308813004056,14,3,0,0,answer
2,0,-1,0.27919209399988176,14,3,0,0,wrong_2
3,1,1,9.92501461700158,22,5,0,0,answer
4,1,-1,3.1255769110066467,22,5,0,-,wrong_1
5,1,1,16.889080998997088,18,4,0,-,answer
6,1,1,8.76034819999768,18,4,0,-,answer
7,1,-1,8.420071255000948,22,5,1,1,wrong_3
8,1,-1,0.666953170002671,18,4,1,2,wrong_2
9,1,-1,0.6695433700006106,14,3,0,-,wrong_2
10,1,-1,0.6695378410004196,10,2,0,-,wrong_1
11,1,-1,5.87400933799654,10,2,0,-,wrong_2
12,1,1,0.5725543410007958,10,2,0,-,answer
